	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	cluster_12	cluster_13	cluster_14	cluster_15	cluster_16	cluster_17	cluster_18	cluster_19	cluster_20	cluster_21	cluster_22	cluster_23	cluster_24	cluster_25	cluster_26	cluster_27	cluster_28
UBE2J1	34.430868090942226	31.660335500876663	74.0565504707863	26.959550809383423	50.7226424963642	38.8200121815394	0.0	7.0399084743617	87.5932515319837	10.46387288093015	20.05578145431295	19.802631073184664	15.020241020713915	164.083989235813	16.028941031235043	30.9460919438077	16.1585672866238	20.001766728893976	32.314011912348754	0.0	19.28356802594919	2.43544531894284	2.99214904275441	13.020744374939058	13.582975047003924	27.6751126622612	0.0	14.298619436092357	15.77916300368104
PNRC1	7.619834403812591	17.058864831563348	0.0	17.871570624161112	0.0	0.0	0.0	295.591015804024	0.0	27.11625540517948	29.99482745231989	22.44164257476028	32.75187919255385	33.2693624051581	20.78705778975926	49.3588055783762	0.0	25.184734327530528	24.613461855427833	5.68827433116944	26.979966890395723	11.7523029297257	81.5258720971327	22.332780555666602	23.927641868500338	9.2784684252059	48.8751749326923	15.82524107652785	7.436257235988759
RNGTT	34.13691898374694	35.685664339131385	313.534308631848	34.097020975761126	73.0213325232094	0.0	0.0	0.0	0.0	31.1536066861616	29.149299287061616	31.00064267671796	37.78052745423019	44.8608003708223	22.86795127023854	0.0	52.1082889798814	26.796163643822087	20.293602218071875	126.187367030295	35.566013474536966	3.54569043942102	29.966942071253	65.46377854651931	41.39542506331369	21.949450622917603	49.5769202518757	29.909548605913375	49.58355693947705
AKIRIN2	8.11940122739946	7.362165610060036	0.0	5.802358597051854	17.3412931646047	0.0	0.0	0.0	0.0	22.63701624917113	6.556983313843015	4.93500747968645	5.759306593350504	4.74479751403282	8.737647755816203	0.0	0.0	10.676632091535799	6.060875483587954	23.0571392712569	6.896372303617505	2.76549865926517	0.0	10.688211663845227	10.804374154941469	0.0	5.71470170114265	7.229433480301	0.8128612123540739
ORC3	78.87587242243053	67.75851181455268	132.456088245475	64.14508605959733	65.7518329816265	277.211586725556	0.0	193.256559295656	162.672319281071	63.39367933749263	65.5738476920371	53.28902768216027	72.03804719038939	146.857413183427	43.025155831167076	64.3169736119132	129.77066914988	64.34131231608664	66.44100817375381	123.168215449867	66.61685404203887	299.130236629844	4.52162589887935	27.962304003554358	63.804385787411434	62.43633161294695	24.847394520023	64.00345359182039	48.19391836149188
RARS2	54.45473184019757	44.08456188615706	210.471923320783	58.533515859769935	0.0	0.0	0.0	127.214714503393	242.966279187776	105.04550935762524	58.407913281315814	107.66950664444761	43.08712610792532	20.3173122364414	76.17774763918962	0.0	163.917446358704	56.96427791439053	47.03328827403108	0.0	48.42726957541434	456.092798565148	83.0902372530318	40.23155305548312	97.14550765687675	72.45277610785774	37.1319898255533	131.02113827032272	68.52276329965267
SLC35A1	34.66669492851992	33.1159184107213	0.0	31.590634864795128	66.5339296520517	0.0	0.0	986.667386585925	0.0	29.810300930974527	47.50154255763665	62.76767005979944	46.44383387624525	0.0	43.33095194653142	259.63665583609	135.880341360422	43.74855340944464	20.705367696033356	37.9625535413555	43.1495472908739	0.0	0.0	63.841315471889274	41.17016835378076	65.0820119500768	116.949542432831	42.06172445015144	53.54322621885746
CXCR2	132.05195745468657	92.96780906613908	17.3344133669112	106.42807130962122	20.690010214853	110.024057275275	97.5137607276728	142.739750822198	441.815098689651	153.74189725387606	131.69769614910018	117.85026294965571	117.65638464228411	40.1455733176743	113.24659335539745	46.4653110654458	46.402151951466	85.13227115444403	81.33813985168182	84.5572569188104	49.42436340006854	160.720801661227	28.815354419495	169.87094139471296	114.31451461474211	80.88520461392059	92.244994411169	191.7896836736481	181.37695214986132
SMIM8	49.43192587766511	20.45111919892981	0.0	24.910593803282648	0.0	0.0	0.0	0.0	0.0	24.80197546457683	13.240999900277398	43.283303382063195	32.71805867719752	0.0	39.76214866263463	45.9416653517173	323.631435005133	46.197931159871615	85.66047477389252	0.0	35.443198421379776	98.228480793321	0.0	118.09471006861249	25.121189613251993	41.4486642863835	0.0	39.28675604658942	40.85259779445846
ZFP292	6.35795903957866	12.17467778457478	2.11315991638246	7.21903101129272	11.2493961513539	23.3830492535511	0.0	32.2911421614429	13.9637214925227	15.044750457429442	9.390219687725082	9.711387387256622	8.359089675114037	1.36662904551434	5.1035764613081716	0.0	2.79932073699381	9.557491306937443	14.215866809385792	0.0	14.825748326963181	34.5429726274826	9.25320143211626	4.265067120251467	11.968921007625575	7.36774483801033	21.9347652325141	15.722028177803352	12.05621799137677
MOB3B	6.265706912793559	0.8751776644230118	1.87643310923872	4.173377863089448	2.11723785574285	3.63137539456615	0.0	0.981743937385383	3.22119363074263	1.346402541555056	0.06673831937318657	0.1793066981199611	1.2471083548691624	1.60239157318071	0.022327446872976314	0.0	0.953262777213091	5.485246811893723	5.659603433510779	18.419580570037	1.4692753991165939	0.339642076823441	3.64192158606205	0.13273196202039214	1.0064407495108374	0.0	14.3339342291535	2.4859427551721507	2.831146055145683
3110043O21RIK	11.30228008221348	16.92548253985453	26.5929762217827	31.235605334359256	4.60070257624016	16.7893163461357	8.80400567840319	2.98037818216902	4.54166837456398	36.097255163583775	2.5258217283564384	3.321861542433596	7.4779879910580505	0.0	8.801694420983544	0.0	0.0	34.61963460188934	11.193352179956532	2.10147608564367	9.420595196837837	0.880477479240102	0.0	29.624680647456508	7.534192986249756	0.0	0.0	20.002976028615393	13.002724741507423
ARPC2	415.27510176964824	404.3365314960702	1152.38859514044	391.54882042082045	256.712941770614	366.336661744037	411.159873553005	406.686399393111	66.1259125552256	506.40715385046695	439.6616371240766	316.3855459816994	404.33828204179986	545.653602579427	399.001154510656	307.680854005627	1015.49943335852	411.7944858668241	371.9109693473344	320.147464888987	426.57183941642336	704.225604053971	751.262948960563	449.5900686831518	349.78616635190923	403.6004097641475	504.376865705785	311.9434742541123	379.3306262740289
ACO1	12.509416368974971	10.268811668422737	0.0	9.745239800592554	76.4526021620672	11.6556241331355	9.2398558175988	14.5719078954572	6.61588503104242	8.95881392485039	5.5112830545032425	15.420568384060386	10.631466203874421	37.486703765234	9.453174123911932	0.0	0.0	5.546949822782481	11.350766621657552	0.389276951660708	10.220263631835847	0.0	6.23380116800671	7.558071049815139	8.691450770168192	19.158724153643888	62.1084407063258	10.020418233007637	4.022587694479661
DDX58	3.2160680050507033	0.7047909635985806	0.0	1.082899121882408	36.4747452259888	0.0	0.0	6.20426216847919	0.0	0.28470549886310637	4.772947956348325	1.3215331557574945	0.19613659959787044	0.0	0.7645845788412813	0.0	7.68431057955181	3.4933180594742668	3.3809582939499987	0.0	2.785519207762278	34.2566327390459	0.0	0.6738000839956356	0.9439533153451193	0.0	25.9393542874429	0.0	0.039047305946691556
TOPORS	12.698980965373634	10.904701344400614	25.0369331907081	14.717568507785007	16.9373343024743	0.0	0.0	9.29203300341644	0.0	7.376814022476171	9.024907764677172	11.719582402667712	8.907660192512866	0.0	8.129685960322666	9.26326828857774	0.0	8.265379483120494	12.595943793851829	80.6355496604563	11.655897027596373	64.6782874558719	0.0	24.73251372586677	10.413332661136254	2.9721326626310596	5.89406981023834	6.763454904875322	17.983055295062258
NDUFB6	725.2915857256455	740.1545682600906	519.829878984929	619.5745519561235	953.833224973013	1271.05651383462	903.804936677608	469.848804414099	370.763137427865	555.773588966498	544.6135302573867	531.2994778852652	548.8399569022826	265.71621055315	599.3542098943948	308.640693990692	859.36670504454	654.0686857221019	524.7043511097369	73.073710907085	622.2228195711069	426.405210392326	109.441878098708	448.4979670698823	577.1423898111941	336.291633209087	838.232161925997	560.8201154638207	583.8658656200586
APTX	20.23919110018592	9.288769849708347	0.0	12.793817485086768	0.0	32.9904779507959	18.4987060753115	13.8499000907453	0.0	15.559544195485381	14.295960126305804	18.453551506186265	19.275890899619334	33.3089241498392	12.390937688782172	0.0	14.6823821201117	20.050547132952307	21.668524324124576	0.0	20.33036583977063	53.6885128066219	0.0	18.780524868676412	22.73179266246486	21.18042868775255	0.0	28.140718783373302	22.08743182022385
DNAJA1	154.30923259854262	158.07332615969096	111.286931445264	149.49064642144222	143.592003629299	62.7593113004035	482.572236314075	103.456621048012	106.704458036801	104.42879107587888	134.9316001424216	177.33736877381648	139.12127484398212	186.934068948686	129.0400273059138	147.526096764527	183.335285239394	120.56564551906528	134.24392645465966	67.4108332532746	95.68760607807751	120.287407426739	219.70833063036	128.44201387021647	147.32980876283412	117.991361464601	133.13746478448	161.23278164624858	160.94706164877775
SMU1	202.40648686071836	171.50532676630766	65.360900631236	191.82760662433398	0.0	139.977798316144	575.533434614336	218.187919006383	165.114500592249	158.16674255801874	153.7226847547484	223.1544395416241	168.57995835799892	87.7268562338928	160.29957312134894	296.112349915715	124.337458771691	231.93192061950816	179.98400009843985	86.594281881226	196.56107505593062	615.190586646735	258.561678929235	185.4506012857947	176.99934912971622	167.60799572990652	258.491695800696	190.12217752330403	205.82882184719477
B4GALT1	46.594422595518466	52.74906882226206	65.0548641984771	57.346501625468356	5.75106690194758	64.423573683795	113.073244329382	26.132303171211	50.4809419789462	20.22956621310115	11.547994445421262	9.863074115125928	12.49489016911537	41.4756234422045	13.66767432539273	36.6325868230208	17.4709121596735	76.25159428663443	105.75004389423636	97.996124245585	96.10217178079546	133.125607125025	356.419651595363	12.939504676699604	13.667947943326961	23.55785235354925	26.3328684831376	14.198877102475613	10.215479272805558
AAMP	56.93133280551289	64.22188625351917	130.599238048951	61.67608844233968	13.9577982100613	82.1730463941816	57.4785256431999	27.4082576660696	46.0255718284492	67.90262305336768	54.55450847196555	72.55121206465971	59.35765163376137	40.3917951879874	60.24947640862089	33.8086397253638	279.924497800451	61.715519989939615	76.09034862908378	58.2408395415017	96.05148300898772	3.43777495996466	82.5080106989498	49.83480375108634	46.69994088288774	48.813308070052706	5.37002665463257	90.98701752846665	53.220585620946615
BAG1	30.43541051348596	34.151013236632345	21.2054234256775	35.60372182397669	0.0	51.3133346083057	0.0	25.7115329698413	225.050078854889	28.50252014100222	32.92295998513841	36.81810831862995	24.78132970561075	0.0	32.169841733329626	0.0	51.5958134935525	23.792337660074324	40.3055194914347	0.0	26.824981774646155	178.248160332373	393.85109592687	54.04767091693385	25.897900696446012	15.15901457720115	27.380380011138	36.37407597269729	36.45955041322573
CHMP5	122.29966038987749	109.86624282269129	49.6334581127984	87.22050980048984	15.8176369394069	119.739203287303	0.0	362.652799910696	57.0330011613758	83.07688933171569	110.77329910638596	103.69476616629592	93.9049301011005	208.981291564771	101.9221764960245	96.9167684668901	186.836651661902	135.13759627880978	93.26573516039655	247.255300981089	138.48196572826103	142.262269189748	39.3554839546073	127.46375306339188	90.02119950863516	147.8554559668175	108.713063285522	112.40802278287613	123.48345870021282
NFX1	28.920526095316266	21.58608447203257	0.0	33.02136614326756	87.5653891255338	85.0682729485756	21.422298959376	11.1821361721032	17.40557738737	44.044475137485115	27.758366423054678	32.71461379163845	40.2799027215985	86.2532815566515	24.680552201868238	32.2985804997182	82.2974688002147	30.43781528504936	47.774929465212956	54.0096315084599	28.404128746076008	15.3758953488217	48.9443821915666	47.07697858742593	31.538528675708257	35.227131303988	13.6386248868247	33.63451044594149	21.780674394680748
